vessel_id,timestamp,speed_knots,draft_m,heading_deg,fuel_rate_lph
vessel_rotterdam_001,2025-01-01T00:00:00Z,7.4,5.22,0,168.8
vessel_rotterdam_001,2025-01-01T01:00:00Z,7.533,5.243,7,169.733
vessel_rotterdam_001,2025-01-01T02:00:00Z,7.667,5.267,14,170.667
vessel_rotterdam_001,2025-01-01T03:00:00Z,7.8,5.29,21,171.6
vessel_rotterdam_001,2025-01-01T04:00:00Z,7.933,5.313,28,172.533
vessel_rotterdam_001,2025-01-01T05:00:00Z,8.067,5.337,35,173.467
vessel_rotterdam_001,2025-01-01T06:00:00Z,8.2,5.36,42,174.4
vessel_rotterdam_001,2025-01-01T07:00:00Z,8.333,5.383,49,175.333
vessel_rotterdam_001,2025-01-01T08:00:00Z,8.467,5.407,56,176.267
vessel_rotterdam_001,2025-01-01T09:00:00Z,8.6,5.43,63,177.2
vessel_rotterdam_001,2025-01-01T10:00:00Z,8.733,5.453,70,178.133
vessel_rotterdam_001,2025-01-01T11:00:00Z,8.867,5.477,77,179.067
vessel_rotterdam_001,2025-01-01T12:00:00Z,9.0,5.5,84,180.0
vessel_rotterdam_001,2025-01-01T13:00:00Z,9.133,5.523,91,180.933
vessel_rotterdam_001,2025-01-01T14:00:00Z,9.267,5.547,98,181.867
vessel_rotterdam_001,2025-01-01T15:00:00Z,9.4,5.57,105,182.8
vessel_rotterdam_001,2025-01-01T16:00:00Z,9.533,5.593,112,183.733
vessel_rotterdam_001,2025-01-01T17:00:00Z,9.667,5.617,119,184.667
vessel_rotterdam_001,2025-01-01T18:00:00Z,9.8,5.64,126,185.6
vessel_rotterdam_001,2025-01-01T19:00:00Z,9.933,5.663,133,186.533
vessel_rotterdam_001,2025-01-01T20:00:00Z,10.067,5.687,140,187.467
vessel_rotterdam_001,2025-01-01T21:00:00Z,10.2,5.71,147,188.4
vessel_rotterdam_001,2025-01-01T22:00:00Z,10.333,5.733,154,189.333
vessel_rotterdam_001,2025-01-01T23:00:00Z,10.467,5.757,161,190.267
vessel_rotterdam_001,2025-01-02T00:00:00Z,7.4,5.22,168,168.8
vessel_rotterdam_001,2025-01-02T01:00:00Z,7.533,5.243,175,169.733
vessel_rotterdam_001,2025-01-02T02:00:00Z,7.667,5.267,182,170.667
vessel_rotterdam_001,2025-01-02T03:00:00Z,7.8,5.29,189,171.6
vessel_rotterdam_001,2025-01-02T04:00:00Z,7.933,5.313,196,172.533
vessel_rotterdam_001,2025-01-02T05:00:00Z,8.067,5.337,203,173.467
vessel_rotterdam_001,2025-01-02T06:00:00Z,8.2,5.36,210,174.4
vessel_rotterdam_001,2025-01-02T07:00:00Z,8.333,5.383,217,175.333
vessel_rotterdam_001,2025-01-02T08:00:00Z,8.467,5.407,224,176.267
vessel_rotterdam_001,2025-01-02T09:00:00Z,8.6,5.43,231,177.2
vessel_rotterdam_001,2025-01-02T10:00:00Z,8.733,5.453,238,178.133
vessel_rotterdam_001,2025-01-02T11:00:00Z,8.867,5.477,245,179.067
vessel_rotterdam_001,2025-01-02T12:00:00Z,9.0,5.5,252,180.0
vessel_rotterdam_001,2025-01-02T13:00:00Z,9.133,5.523,259,180.933
